pub_date	title	venue	citation	paper_url	code_url
2012-10-01	Composition-based Classification of Short Metagenomic Sequences Elucidates the Landscapes of Taxonomic and Functional Enrichment of Microorganisms.	Nucleic Acids Research	    Jiemeng Liu, Haifeng Wang, Hongxing Yang, *Yizhe Zhang*, Jinfeng Wang, Fangqing Zhao and Ji Qi	http://www.ncbi.nlm.nih.gov/pubmed/22941634	http://metacv.sourceforge.net
2012-10-01	CRF-based Transcription Factor Binding Site Finding.	BMC Genomics	    Yupeng He, *Yizhe Zhang*, Guangyong Zheng and Chaochun Wei	http://www.biomedcentral.com/1471-2164/13/S8/S18/	http://cbb.sjtu.edu.cn/~ccwei/pub/software/CTF/CTF_v0.91.tarz
2015-10-01	MOST+: a Motif Finding Approach Combining Genomic Sequence and Heterogeneous Genome-wide Signatures.	BMC Genomics	    *Yizhe Zhang*, Yupeng He and Chaochun Wei	http://cbb.sjtu.edu.cn/~ccwei/pub/software/MOST/MOST.php	http://cbb.sjtu.edu.cn/~ccwei/pub/software/MOST/MOST+_v1.5_sourceonly.tar.gz
2015-10-01	Learning Dictionary with Spatial and Inter-dictionary Dependency.	Workshop on representation learning, NIPS	    *Yizhe Zhang*, Ricardo Henao, Chunyuan Li, Lawrence Carin.	/files/nips2015.pdf	NONE
2016-10-01	Laplacian Hamiltonian Monte Carlo	ECML	    *Yizhe Zhang*, Changyou Chen, Ricardo Henao, Lawrence Carin	https://dl.acm.org/doi/10.1007/978-3-319-46128-1_7	NONE
2016-10-01	Dynamic Poisson Factor Analysis	ICDM	    *Yizhe Zhang*, Changyou Chen, Ricardo Henao, Lawrence Carin	/files/dynpfa_icdm.pdf	/files/dpfa_release.zip
2016-10-01	Triply Stochastic Variational Inference for Non-linear Beta Process Factor Analysis.	ICDM	    Kai Fan, *Yizhe Zhang*, Lawrence Carin, Katherine Heller	/files/VSAE.pdf	/files/dpfa_release.zip
2016-10-01	Bayesian Dictionary Learning with Gaussian Processes and Sigmoid Belief Networks.	IJCAI	    *Yizhe Zhang*, Ricardo Henao, Chunyuan Li, Lawrence Carin	/files/VSAE.pdf	/files/gpfa.zip
2016-10-01	Learning a Hybrid Architecture for Sequence Regression and Annotation.	AAAI	    *Yizhe Zhang*, Ricardo Henao, Jianling Zhong, Lawrence Carin, Alexander Hartemink	/files/AAAI_2016_zhang.pdf	/files/AAAI_suppl.zip
2016-10-01	Generating Text via Adversarial Training.	Workshop on Adversarial Training, NIPS	    *Yizhe Zhang*, Zhe Gan, Lawrence Carin	/files/AAAI_2016_zhang.pdf	NONE
2016-10-01	Stochastic Gradient MCMC with Stale Gradients.	NIPS	    Changyou Chen, Nan Ding, Chunyuan Li, *Yizhe Zhang*, Lawrence Carin	https://arxiv.org/abs/1610.06664	https://github.com/cchangyou/S2G-MCMC
2016-10-01	Towards Unifying Hamiltonian Monte Carlo and Slice Sampling.	NIPS	    *Yizhe Zhang*, Xiangyu Wang, Changyou Chen, Lawrence Carin	http://papers.nips.cc/paper/6147-towards-unifying-hamiltonian-monte-carlo-and-slice-sampling	https://github.com/dreasysnail/MGHMC
2017-10-01	Adversarial Feature Matching for Text Generation.	ICML	     *Yizhe Zhang*, Zhe Gan, Kai Fan, Zhi Chen, Ricardo Henao, Lawrence Carin	https://arxiv.org/abs/1706.03850	https://github.com/dreasysnail/textGAN_public
2017-10-01	Stochastic Gradient Monomial Gamma Sampler.	ICML	     *Yizhe Zhang*, Changyou Chen, Zhe Gan, Ricardo Henao, Lawrence Carin	https://arxiv.org/abs/1706.01498	https://github.com/dreasysnail/SGMGT
2017-10-01	Triangle Generative Adversarial Networks.	NIPS	     Zhe Gan, Liqun Chen, Weiyao Wang, Yunchen Pu, *Yizhe Zhang*, Lawrence Carin	https://arxiv.org/abs/1709.06548	https://github.com/LiqunChen0606/Triangle-GAN
2017-10-01	Deconvolutional Paragraph Representation Learning.	NIPS	     *Yizhe Zhang*, Dinghan Shen, Guoyin Wang, Ricardo Henao, Zhe Gan, Lawrence Carin	https://arxiv.org/abs/1708.04729	https://github.com/dreasysnail/textCNN_public
2018-10-01	Zero-Shot Learning via Class-Conditioned Deep Generative Models.	AAAI	     Wenlin Wang, Yunchen Pu, Vinay Kumar Verma, Kai Fan, *Yizhe Zhang*, Changyou Chen, Piyush Rai, Lawrence Carin	https://arxiv.org/abs/1711.05820	NONE
2018-10-01	Deconvolutional Latent-Variable Model for Text Sequence Matching.	AAAI	     Dinghan Shen, *Yizhe Zhang*, Ricardo Henao, Qinliang Su, Lawrence Carin	https://arxiv.org/abs/1709.07109	NONE
2018-10-01	Joint Embedding of Words and Labels for Text Classification.	ACL	     Guoyin Wang, Chunyuan Li, Wenlin Wang, *Yizhe Zhang*, Dinghan Shen, Xinyuan Zhang, Ricardo Henao and Lawrence Carin	https://arxiv.org/abs/1805.04174	https://github.com/guoyinwang/LEAM
